Student ID,Name,Gender,University,Room Type,Budget,District,Location,Area,Pin,Near Rail Station,Near University,Near School,Near Roadside,Availability of Mess,Availability of Pen Guest,Room Information
714,Sana Handa,Female,"Balasubramanian, Basak and Dixit",Copper,2400,Nadia,Raichur,Bhatt,649462,No,Yes,Yes,No,Yes,No,Yes
549,Jayant Balan,Female,Srinivas-Chaudhary,Double,2000,Jhargram,Ramagundam,Sama Road,380371,No,Yes,No,Yes,No,Yes,Yes
272,Faiyaz Ahuja,Male,Mallick-Tara,Single,2200,Hooghly,Udaipur,Khurana Road,696088,No,No,No,No,Yes,No,Yes
768,Jayan Som,Male,Dugal and Sons,Double,2000,Birbhum,Mysore,Anand,272598,Yes,Yes,No,Yes,No,Yes,No
76,Anahi Loke,Male,"Ramaswamy, Sehgal and Dora",Single,2500,Hooghly,Kirari Suleman Nagar,Sarraf Ganj,429174,No,Yes,Yes,Yes,Yes,No,No
114,Inaaya  Bansal,Female,Ramakrishnan-Cherian,Copper,2400,Hooghly,Ambattur,Mahal Marg,572544,No,Yes,No,No,No,Yes,Yes
51,Charvi Barman,Male,Dass-Banerjee,Single,2200,Howrah,Ghaziabad,Chatterjee Ganj,246093,Yes,Yes,Yes,Yes,Yes,No,No
655,Zain Subramanian,Female,Madan Ltd,Double,2100,Hooghly,Bardhaman,Chakrabarti,883584,No,No,Yes,No,Yes,No,No
902,Ritvik Dhawan,Female,Krishnan-Kadakia,Copper,2100,Kalimpong,Gurgaon,Arya Chowk,709959,Yes,No,Yes,No,Yes,No,Yes
44,Zara Saxena,Male,Date-Srinivasan,Copper,2500,Purulia,Munger,Lata Zila,698322,No,Yes,No,No,No,Yes,Yes
849,Umang Bahl,Male,Bhatia-Ratta,Double,2000,Cooch Behar,Berhampore,Kala Marg,19730,No,Yes,No,Yes,Yes,No,Yes
931,Dharmajan Garg,Male,"Buch, Bhalla and Bahl",Single,2500,Kalimpong,Sagar,Rao Street,222358,No,Yes,No,Yes,Yes,No,Yes
383,Miraan Dash,Male,Vyas Group,Single,2300,Howrah,Muzaffarnagar,Shah Path,755489,Yes,Yes,No,No,Yes,No,Yes
201,Nehmat Kumer,Female,Sani and Sons,Single,2200,Dakshin Dinajpur,Nangloi Jat,Behl Nagar,988394,Yes,No,Yes,Yes,Yes,No,No
587,Chirag Mander,Male,"Walla, Bhasin and Basak",Single,2200,Alipurduar,Vijayawada,Balasubramanian Zila,500228,Yes,Yes,Yes,Yes,No,Yes,Yes
896,Fateh Kaur,Female,Kanda Ltd,Copper,2400,Alipurduar,Vellore,Jani Marg,967221,No,Yes,No,Yes,No,Yes,No
460,Ojas Bhargava,Male,Lanka LLC,Single,2000,Alipurduar,Salem,Bassi Chowk,787138,No,No,No,Yes,No,Yes,Yes
272,Vritika Sheth,Female,"Saxena, Srivastava and Bahl",Single,2300,Purba Bardhaman,Shimoga,Dugar Circle,910008,Yes,No,Yes,Yes,Yes,No,No
575,Riaan Ravel,Male,"Arora, Seth and Chaudhry",Single,2300,Alipurduar,Aurangabad,Bajwa Path,750764,Yes,Yes,Yes,No,No,Yes,No
582,Miraya Basak,Male,Gupta-Viswanathan,Single,2400,Purba Bardhaman,Patna,Mallick Path,322963,Yes,Yes,Yes,No,No,Yes,No
664,Myra Lanka,Male,Bhakta-Deshmukh,Copper,2300,Purulia,Shimoga,Sharaf Road,641807,No,No,No,No,No,Yes,No
986,Miraan Ratti,Male,Shan-Mahajan,Double,2500,Malda,Pondicherry,Bhatti,511819,Yes,Yes,No,No,No,Yes,Yes
318,Eshani Apte,Male,"Bala, Agrawal and Sahota",Single,2400,Purba Bardhaman,Katihar,Chacko Nagar,410734,No,Yes,Yes,Yes,Yes,No,Yes
884,Emir Deshpande,Female,Bhargava-Chaudhary,Double,2100,Darjeeling,Thrissur,Gole Zila,784015,No,No,Yes,No,Yes,No,Yes
142,Vaibhav Loke,Female,"Wadhwa, Agarwal and Tandon",Copper,2300,Alipurduar,Vadodara,Deol Street,957764,No,Yes,Yes,Yes,No,Yes,No
241,Manjari Kale,Female,Buch Ltd,Copper,2400,Hooghly,Karaikudi,Karpe Nagar,371005,No,Yes,No,Yes,Yes,No,Yes
250,Krish Bains,Male,Srinivasan-Bhatt,Copper,2100,Kalimpong,Sultan Pur Majra,Ghose Zila,128163,Yes,Yes,No,Yes,Yes,No,No
211,Zaina Apte,Male,Handa Ltd,Copper,2000,Kolkata,Belgaum,Sha Circle,184204,Yes,Yes,Yes,Yes,No,Yes,No
272,Inaaya  Chaudhari,Female,Atwal-Hegde,Double,2300,Darjeeling,Belgaum,Chawla Zila,994935,Yes,Yes,Yes,Yes,No,Yes,No
816,Khushi Chaudry,Female,Majumdar-Khatri,Single,2400,Malda,Vadodara,Sem Street,855589,Yes,Yes,Yes,No,No,Yes,Yes
329,Riya Dara,Male,"Chana, Mahajan and Dave",Copper,2100,Howrah,Baranagar,Tella Path,461248,Yes,No,Yes,Yes,Yes,No,Yes
191,Samar Mani,Male,Sangha-Kamdar,Double,2300,Purulia,Chandigarh,Kade Road,545586,Yes,Yes,Yes,Yes,Yes,No,Yes
438,Onkar Dewan,Female,Bassi-Kumer,Single,2100,Darjeeling,Amravati,Chander Road,341702,Yes,Yes,No,Yes,No,Yes,No
682,Kartik Edwin,Female,"Mane, Bhalla and Sanghvi",Copper,2200,Malda,Ongole,Din Path,296021,Yes,Yes,No,Yes,No,Yes,Yes
759,Zain Karan,Male,Aurora Inc,Copper,2400,Uttar Dinajpur,Hospet,Sami Marg,246673,Yes,No,Yes,No,No,Yes,No
573,Hunar Varughese,Female,Subramaniam Group,Copper,2200,Hooghly,Latur,Dutt Marg,953530,No,No,No,No,Yes,No,No
361,Mamooty Dave,Female,Wagle-Golla,Copper,2500,Malda,Haldia,Ahluwalia Nagar,2176,No,Yes,No,Yes,No,Yes,No
529,Priyansh Shere,Male,Bandi and Sons,Copper,2200,Paschim Medinipur,Morbi,Hayer Path,826459,No,No,Yes,Yes,No,Yes,Yes
922,Biju Rau,Male,Rege PLC,Single,2300,Bankura,Shahjahanpur,Singh Road,284408,No,Yes,No,No,Yes,No,Yes
945,Alisha Bedi,Female,Chand PLC,Single,2000,Kalimpong,Hospet,Saran Path,612366,No,Yes,Yes,Yes,No,Yes,Yes
741,Keya Wagle,Male,Venkataraman-Khalsa,Copper,2200,Darjeeling,Sultan Pur Majra,Keer Ganj,532854,Yes,Yes,No,No,No,Yes,No
236,Aaina Bajwa,Male,Gaba PLC,Single,2300,Alipurduar,Miryalaguda,Hora,180381,No,No,Yes,No,Yes,No,No
65,Tiya Iyengar,Male,"Vora, Dara and Srinivas",Single,2500,Murshidabad,Bhagalpur,Samra Path,394403,Yes,No,No,Yes,Yes,No,No
514,Nakul Solanki,Male,Ben-Hegde,Single,2400,Cooch Behar,Loni,Sura Circle,299890,No,No,Yes,No,No,Yes,Yes
484,Aniruddh Varughese,Male,Bath-Andra,Copper,2300,Alipurduar,Aizawl,Sarna Nagar,706957,Yes,No,No,No,No,Yes,Yes
637,Eshani Jhaveri,Female,"Bera, Trivedi and Sanghvi",Single,2200,South 24 Parganas,Vijayawada,Dara Marg,224974,Yes,Yes,Yes,No,No,Yes,Yes
24,Pihu Acharya,Female,Sodhi-Thaker,Single,2400,Dakshin Dinajpur,Katni,Rama Zila,372151,No,No,Yes,No,Yes,No,No
904,Taran Bandi,Female,Swamy-Biswas,Copper,2500,Cooch Behar,Bulandshahr,Solanki Chowk,655961,Yes,No,Yes,Yes,No,Yes,Yes
244,Saanvi Tella,Female,"Sachdev, Swaminathan and Barad",Single,2000,Purulia,Ghaziabad,Bail Circle,948231,Yes,No,Yes,Yes,No,Yes,Yes
845,Akarsh Kunda,Female,"Khatri, Gala and Doctor",Single,2200,Paschim Bardhaman,Satna,Garg Ganj,486324,No,Yes,Yes,No,No,Yes,No
178,Rania Krish,Male,Mani-Atwal,Copper,2100,Hooghly,Bhatpara,Gala Marg,510545,No,Yes,Yes,Yes,No,Yes,Yes
111,Nishith Agate,Male,Devan Ltd,Double,2000,Purba Bardhaman,Bellary,Samra Circle,340061,No,No,Yes,No,Yes,No,No
809,Arnav Ahuja,Female,"Gulati, Dewan and Choudhry",Single,2200,Uttar Dinajpur,Etawah,Hora Road,286269,No,Yes,Yes,Yes,No,Yes,Yes
610,Zeeshan Dixit,Male,"Singh, Sawhney and Basak",Single,2000,Howrah,Guna,Gole Circle,397956,Yes,No,Yes,Yes,No,Yes,Yes
56,Rati Dada,Male,Sharaf-Soni,Copper,2100,Cooch Behar,Singrauli,Kumer Street,682524,No,Yes,No,Yes,No,Yes,Yes
46,Vihaan Choudhury,Male,Basu Inc,Double,2000,Purba Medinipur,Allahabad,Issac Path,550990,Yes,No,Yes,No,No,Yes,Yes
10,Amira Ram,Male,Keer-Sama,Single,2200,Jalpaiguri,Amritsar,Seshadri Chowk,155558,Yes,Yes,Yes,No,No,Yes,Yes
923,Anya Buch,Male,Mandal-Dayal,Single,2500,Jalpaiguri,Korba,Kulkarni Chowk,357012,Yes,Yes,No,Yes,No,Yes,No
398,Nayantara Dada,Male,Vala-Verma,Double,2000,Uttar Dinajpur,Ajmer,Sharaf Ganj,875756,Yes,No,No,Yes,No,Yes,Yes
940,Zain Sankaran,Male,Iyengar-Ganesh,Double,2300,Howrah,Firozabad,Datta Path,897910,Yes,Yes,No,No,Yes,No,No
372,Mehul Kadakia,Female,"Karnik, Bajwa and Gera",Double,2000,Purulia,Sonipat,Suri Zila,692252,No,No,Yes,No,No,Yes,Yes
138,Nitya Kurian,Female,Sabharwal-Arya,Double,2400,Jalpaiguri,Parbhani,Din Circle,285662,Yes,No,Yes,No,No,Yes,Yes
143,Suhana Saran,Male,Deshmukh-Sundaram,Copper,2300,South 24 Parganas,Thane,Sunder Road,212978,No,Yes,Yes,No,Yes,No,Yes
313,Advika Anand,Male,Mangal-Badal,Single,2500,Howrah,Tenali,Badami Marg,161528,Yes,No,No,No,Yes,No,Yes
426,Vivaan Mangat,Male,Mani-Koshy,Single,2000,Cooch Behar,Indore,Shanker Street,259858,No,No,Yes,No,No,Yes,No
972,Tejas Rajan,Female,Varty LLC,Copper,2200,Jhargram,Kollam,Edwin,515627,No,Yes,No,Yes,Yes,No,Yes
343,Arhaan Sangha,Female,Tiwari Inc,Double,2100,Jhargram,Surat,Das Road,965496,Yes,Yes,Yes,No,Yes,No,No
472,Dhanuk Warrior,Female,Krishnamurthy Ltd,Double,2300,Jalpaiguri,Panipat,Mandal,230088,No,No,Yes,No,Yes,No,No
347,Nehmat Buch,Female,Ahluwalia LLC,Single,2300,Birbhum,Chennai,Goyal Marg,307309,No,No,No,Yes,No,Yes,Yes
990,Fateh Bhat,Male,Tandon-Choudhary,Single,2200,Kalimpong,Latur,Maharaj Chowk,548955,Yes,No,Yes,Yes,No,Yes,No
941,Shamik Kari,Male,"Bumb, Kumar and Subramanian",Copper,2100,Paschim Bardhaman,Jalandhar,Cheema Ganj,196938,No,No,Yes,Yes,No,Yes,No
511,Kartik Ben,Male,Kalla Group,Double,2000,Jalpaiguri,Karaikudi,Ben Nagar,298086,No,Yes,Yes,No,Yes,No,No
623,Drishya Sarraf,Female,Bhakta-Mall,Double,2400,Jhargram,Rajahmundry,Walla Ganj,531091,Yes,No,No,No,Yes,No,Yes
953,Zara Srinivas,Female,"Mani, Dhingra and Dey",Single,2300,Uttar Dinajpur,Kamarhati,Agate Street,49213,No,No,No,No,Yes,No,Yes
605,Stuvan Kari,Male,Iyengar-Kala,Double,2300,Cooch Behar,Erode,Chauhan Path,308233,Yes,Yes,No,No,No,Yes,No
31,Ahana  Basak,Male,Barad LLC,Copper,2300,Nadia,Chennai,Biswas Chowk,553674,Yes,Yes,No,No,Yes,No,Yes
508,Keya Bhasin,Female,Shere and Sons,Double,2200,Uttar Dinajpur,Begusarai,Borra Path,135853,Yes,Yes,Yes,Yes,Yes,No,No
448,Saanvi Sarkar,Female,Rana and Sons,Single,2000,North 24 Parganas,Karnal,Rajan Ganj,717371,No,Yes,No,Yes,No,Yes,Yes
823,Yasmin Biswas,Female,Rao Inc,Copper,2400,Cooch Behar,Guna,Gade Nagar,809183,No,No,No,Yes,No,Yes,No
76,Tarini Mandal,Male,"Dutt, Karan and Bala",Single,2000,Hooghly,Avadi,Shah Chowk,36528,No,Yes,Yes,No,No,Yes,Yes
263,Gatik Buch,Male,Doshi Ltd,Single,2500,Dakshin Dinajpur,Tirupati,Arora Zila,341,No,Yes,Yes,No,No,Yes,No
772,Mamooty Sastry,Female,Khare Inc,Copper,2200,Purulia,Kumbakonam,Rattan Circle,200973,Yes,Yes,No,Yes,Yes,No,No
357,Faiyaz Trivedi,Male,"Goyal, Kant and Mahal",Copper,2500,Uttar Dinajpur,Tezpur,Sane Zila,547813,Yes,Yes,Yes,Yes,Yes,No,Yes
613,Indrans Chaudhary,Female,Devan-Bal,Double,2000,Hooghly,Thanjavur,Wali Nagar,133824,Yes,No,Yes,No,Yes,No,Yes
575,Dharmajan Talwar,Male,"Yogi, Chauhan and Char",Single,2500,Howrah,Kalyan-Dombivli,Dora Path,10068,Yes,No,Yes,Yes,No,Yes,Yes
134,Azad Sachdeva,Female,"Yohannan, Gopal and Raju",Copper,2200,Darjeeling,Faridabad,Singhal,285276,No,Yes,Yes,No,Yes,No,No
735,Aarna Chokshi,Female,Babu-Yadav,Single,2400,South 24 Parganas,Ratlam,Sekhon Marg,583282,Yes,No,No,No,Yes,No,No
484,Tarini Anand,Female,Varkey-Vaidya,Copper,2300,Bankura,Mumbai,Verma Road,305270,No,Yes,No,Yes,No,Yes,No
824,Alia Rajan,Female,"Ramakrishnan, Andra and Jha",Double,2200,Malda,Medininagar,Amble Ganj,386449,Yes,Yes,No,Yes,No,Yes,No
349,Mehul Hans,Male,Wable-Solanki,Double,2100,North 24 Parganas,Amroha,Baria,804702,Yes,No,No,No,No,Yes,No
159,Aarna Arya,Male,Sibal Inc,Copper,2200,Cooch Behar,Mirzapur,Tiwari Nagar,98585,Yes,No,Yes,No,Yes,No,No
469,Samiha Bali,Female,Halder-Kunda,Single,2400,Paschim Bardhaman,Alwar,Madan Circle,790370,Yes,Yes,Yes,No,Yes,No,No
97,Shlok Mallick,Male,Dada Group,Single,2100,Murshidabad,Mira-Bhayandar,Loyal Street,384581,Yes,Yes,No,Yes,No,Yes,Yes
975,Romil Cherian,Female,Kunda-Wali,Copper,2400,Purulia,Khammam,Bhardwaj Zila,485059,Yes,Yes,Yes,Yes,No,Yes,Yes
702,Shanaya Sibal,Female,"Suresh, Vaidya and Bhatnagar",Double,2200,Purba Bardhaman,Siliguri,Vala Path,325671,No,No,No,No,Yes,No,Yes
369,Eshani Wagle,Male,Comar-Sengupta,Double,2100,Cooch Behar,Gaya,Dayal Zila,948738,No,Yes,Yes,Yes,No,Yes,No
31,Mishti Sood,Male,Vohra-Singhal,Single,2500,Jalpaiguri,Dibrugarh,Vora,255951,Yes,Yes,No,Yes,Yes,No,Yes
415,Umang Garg,Female,Bakshi-Chand,Copper,2200,Paschim Bardhaman,Jaunpur,Thaman Marg,559778,No,No,Yes,Yes,Yes,No,Yes
378,Seher Bava,Female,"Barad, Tiwari and Samra",Single,2000,North 24 Parganas,Khora ,Shroff,927137,Yes,Yes,Yes,Yes,Yes,No,No
951,Gokul Brahmbhatt,Female,Suri Inc,Single,2500,Paschim Medinipur,Kozhikode,Kulkarni,503867,No,Yes,No,Yes,No,Yes,No
341,Neelofar Bath,Male,Sridhar-Devi,Double,2000,Jalpaiguri,Jammu,Goyal Marg,492846,Yes,No,No,No,Yes,No,No
657,Bhavin Deo,Female,Sood-Halder,Copper,2500,Cooch Behar,Tinsukia,Sunder Nagar,111948,No,No,Yes,Yes,Yes,No,No
587,Rati Saini,Female,"Sant, Kant and Chaudhari",Double,2300,Howrah,Bihar Sharif,Upadhyay Road,436605,Yes,No,No,Yes,Yes,No,Yes
724,Vidur Kadakia,Female,"Krish, Jain and Kala",Copper,2400,Purba Medinipur,Raiganj,Bali Road,50808,Yes,No,Yes,Yes,No,Yes,No
177,Aarna Andra,Female,"Gole, Bumb and Gola",Double,2200,Paschim Medinipur,Ghaziabad,Johal Marg,375735,Yes,No,Yes,No,Yes,No,No
672,Aarav Aggarwal,Female,Batra-Chana,Double,2400,Bankura,Kulti,Bhat Marg,779319,No,Yes,No,Yes,Yes,No,No
587,Kiara Garde,Female,Kale-Banerjee,Single,2500,Jalpaiguri,Amravati,Hayer Road,596291,Yes,No,Yes,No,Yes,No,Yes
286,Raunak Dash,Female,Ahluwalia-Lad,Single,2200,North 24 Parganas,Udupi,Kota Path,394864,Yes,Yes,No,No,No,Yes,No
64,Jhanvi Borra,Female,Batra Inc,Double,2200,Malda,Jabalpur,Sharma Nagar,280384,No,Yes,Yes,No,No,Yes,No
45,Nirvaan Kapadia,Male,Bir-Shanker,Double,2000,Hooghly,Mango,Bhandari,510519,Yes,Yes,Yes,Yes,No,Yes,No
340,Yasmin Sastry,Male,Comar LLC,Copper,2400,Uttar Dinajpur,Ratlam,Thakkar Ganj,586115,Yes,Yes,No,No,Yes,No,No
600,Chirag Sengupta,Male,Sawhney-Chaudhary,Copper,2500,Hooghly,Ajmer,Thakkar Road,865116,Yes,No,Yes,Yes,Yes,No,Yes
524,Heer Garde,Male,Shah and Sons,Copper,2500,Paschim Bardhaman,Ramagundam,Ravel Street,980327,No,No,Yes,No,No,Yes,No
418,Alia Grover,Male,Banerjee and Sons,Single,2300,Hooghly,Madurai,Magar Ganj,731527,No,Yes,No,No,No,Yes,Yes
858,Riaan Vaidya,Female,"Bajwa, Kapur and Viswanathan",Double,2500,South 24 Parganas,Vellore,Sankaran Ganj,935188,Yes,No,No,Yes,No,Yes,Yes
507,Anvi Bumb,Female,Vig-Thakur,Copper,2100,Purba Bardhaman,Ludhiana,Mallick Path,774375,Yes,No,Yes,Yes,No,Yes,Yes
359,Samaira Hans,Male,Bandi-Maharaj,Single,2200,Purba Medinipur,Rourkela,Chandran Circle,28325,Yes,No,No,No,Yes,No,No
880,Baiju Lad,Male,Karpe-Bhattacharyya,Single,2100,Kolkata,Bongaigaon,Chaudhary,327199,No,Yes,Yes,Yes,Yes,No,No
610,Kismat Vohra,Female,Konda Group,Single,2500,Jhargram,Aurangabad,Deshpande Marg,868307,No,Yes,No,Yes,Yes,No,No
791,Arnav Sharma,Female,Roy PLC,Double,2200,Jalpaiguri,Eluru,Ganguly Nagar,530333,No,Yes,No,No,No,Yes,No
555,Shamik Ranganathan,Female,Goswami-Sood,Double,2400,Purba Medinipur,Malegaon,Sachar Road,579587,Yes,Yes,Yes,Yes,No,Yes,Yes
815,Yashvi Karan,Male,Ben Group,Single,2500,Purba Medinipur,Bhilai,Manne,284646,No,Yes,Yes,Yes,No,Yes,No
705,Diya Dhawan,Male,"Bahl, Choudhary and Gala",Copper,2500,Paschim Bardhaman,Indore,Saini Path,755133,No,Yes,Yes,No,Yes,No,No
122,Kimaya Lalla,Female,"Kala, Deshpande and Kala",Double,2200,Bankura,Siwan,Wali Road,233727,Yes,No,Yes,No,Yes,No,Yes
829,Dhanush Sarraf,Male,"Comar, Kothari and Srivastava",Copper,2100,Cooch Behar,Nangloi Jat,Chad Ganj,138059,No,No,No,No,No,Yes,No
96,Badal Keer,Male,Ganesan-Date,Single,2400,Cooch Behar,Katihar,Wable Circle,250186,No,Yes,Yes,No,Yes,No,Yes
115,Amira Mandal,Female,Gola-Khalsa,Copper,2500,Alipurduar,Mumbai,Raju,606165,No,Yes,Yes,No,Yes,No,Yes
349,Sara Barman,Male,Bhardwaj Ltd,Double,2300,Birbhum,Siwan,Baria Road,273014,No,No,No,Yes,Yes,No,Yes
303,Faiyaz Singhal,Female,"Chaudhari, Kapur and Bhatt",Double,2200,Howrah,South Dumdum,Madan Chowk,179778,No,Yes,No,Yes,Yes,No,Yes
85,Fateh Kanda,Male,"Dani, Sundaram and Sharma",Single,2100,Uttar Dinajpur,Unnao,Bhatt Marg,196721,Yes,No,Yes,Yes,No,Yes,Yes
862,Miraan Sabharwal,Male,Varkey Ltd,Single,2400,Uttar Dinajpur,Bhusawal,Kaur,637691,No,No,No,Yes,Yes,No,No
313,Anya Contractor,Female,"Bal, Gala and Dhaliwal",Copper,2100,Cooch Behar,Jamshedpur,Johal Nagar,49891,Yes,Yes,Yes,No,No,Yes,No
899,Himmat Bhattacharyya,Female,Keer Group,Single,2300,Bankura,Chandigarh,Bahri Path,213805,Yes,No,Yes,No,Yes,No,No
999,Faiyaz Sangha,Female,"Trivedi, Sastry and Dhar",Copper,2500,Paschim Medinipur,Nandyal,Lad Chowk,589933,Yes,No,Yes,No,Yes,No,Yes
60,Zeeshan Bhargava,Female,Chowdhury Group,Double,2100,Cooch Behar,Sri Ganganagar,Bhakta Street,701958,No,Yes,Yes,No,No,Yes,No
213,Neysa Kuruvilla,Male,"Bal, Chand and Issac",Copper,2000,Uttar Dinajpur,Nizamabad,Chauhan Path,363389,No,No,No,Yes,No,Yes,No
504,Jayesh Bhatti,Male,Sridhar and Sons,Double,2200,Paschim Medinipur,Fatehpur,Bose Zila,193253,Yes,Yes,Yes,Yes,No,Yes,Yes
738,Piya Barad,Female,Wason-Sawhney,Double,2200,Alipurduar,Bellary,Badami Marg,626352,Yes,Yes,Yes,Yes,Yes,No,Yes
410,Dharmajan Grover,Female,Thakkar-Bassi,Single,2300,Hooghly,Guwahati,Dewan Nagar,933111,Yes,Yes,No,No,No,Yes,Yes
462,Oorja Biswas,Female,Mallick LLC,Double,2400,Malda,Durgapur,Hegde Road,713354,Yes,Yes,No,Yes,Yes,No,Yes
391,Indrans Khanna,Female,Banik-Taneja,Single,2000,Purulia,Buxar,Sanghvi Zila,103492,No,Yes,No,Yes,Yes,No,No
733,Nehmat Kanda,Male,"Kari, Goswami and Raval",Single,2200,Howrah,Berhampur,Atwal Marg,92045,No,Yes,No,Yes,Yes,No,Yes
601,Sara Ratta,Male,Cherian LLC,Double,2300,Malda,Kakinada,Bhatnagar,136051,No,Yes,No,Yes,Yes,No,Yes
168,Pranay Singh,Male,Venkatesh PLC,Copper,2400,Birbhum,Gorakhpur,Sachdeva Marg,238598,Yes,Yes,No,Yes,No,Yes,No
234,Zaina Contractor,Male,Ramakrishnan Ltd,Double,2200,Bankura,Panipat,Ben Nagar,51510,Yes,Yes,Yes,No,No,Yes,Yes
404,Vivaan Biswas,Male,Chhabra-Dora,Single,2500,Darjeeling,Arrah,Aggarwal Street,685631,No,No,Yes,Yes,Yes,No,Yes
398,Yuvraj  Luthra,Female,Ranganathan Group,Copper,2300,Murshidabad,Dindigul,Ratti Path,830865,Yes,No,No,No,No,Yes,No
665,Riaan Sarin,Female,Sankaran-Ganesh,Double,2500,Nadia,Darbhanga,Venkatesh Path,973719,No,Yes,Yes,Yes,No,Yes,Yes
261,Khushi Lata,Male,Dhawan-Vora,Single,2300,Dakshin Dinajpur,Surat,Ravel Circle,137327,No,No,Yes,No,Yes,No,No
592,Darshit Goda,Male,"Devan, Kumer and Ratta",Copper,2400,Paschim Medinipur,Nashik,Jhaveri Chowk,18959,No,No,Yes,Yes,No,Yes,Yes
978,Jiya Seth,Male,Shetty and Sons,Copper,2500,Uttar Dinajpur,Sonipat,Dugar Circle,66842,No,Yes,No,Yes,Yes,No,No
659,Kaira Ganguly,Male,Manne-Wagle,Double,2000,Murshidabad,Panihati,Sachdeva Nagar,678957,No,No,Yes,No,Yes,No,Yes
65,Armaan Bahl,Male,Mahal-Sharaf,Double,2400,Purba Medinipur,Bulandshahr,Subramanian Ganj,506296,No,Yes,No,Yes,No,Yes,No
